File: 0, Coords: 171,204, RGB: 27,27,73
File: 1, Coords: 171,209, RGB: 28,28,28
File: 2, Coords: 171,209, RGB: 44,85,157
File: 3, Coords: 171,209, RGB: 29,29,29
File: 4, Coords: 171,209, RGB: 26,26,26
File: 5, Coords: 171,209, RGB: 29,29,29
File: 6, Coords: 171,209, RGB: 29,115,187
File: 7, Coords: 171,209, RGB: 44,44,44
File: 8, Coords: 171,209, RGB: 114,187,255
File: 9, Coords: 171,209, RGB: 31,31,31
File: 0, Coords: 171,210, RGB: 28,28,74
File: 1, Coords: 171,210, RGB: 28,28,114
File: 2, Coords: 171,210, RGB: 85,157,224
File: 3, Coords: 171,210, RGB: 74,152,222
File: 4, Coords: 171,210, RGB: 26,26,26
File: 5, Coords: 171,210, RGB: 255,255,255
File: 6, Coords: 171,210, RGB: 29,29,74
File: 7, Coords: 171,210, RGB: 44,44,123
File: 8, Coords: 171,210, RGB: 28,28,114
File: 9, Coords: 171,210, RGB: 31,75,153
File: 0, Coords: 172,204, RGB: 151,221,255
File: 1, Coords: 172,204, RGB: 30,30,30
File: 2, Coords: 172,204, RGB: 255,255,255
File: 3, Coords: 172,204, RGB: 255,255,255
File: 4, Coords: 172,204, RGB: 26,26,26
File: 5, Coords: 172,204, RGB: 255,255,255
File: 6, Coords: 172,204, RGB: 27,113,187
File: 7, Coords: 172,204, RGB: 255,255,255
File: 8, Coords: 172,204, RGB: 187,255,255
File: 9, Coords: 172,204, RGB: 187,255,255
File: 0, Coords: 172,205, RGB: 255,187,114
File: 1, Coords: 172,205, RGB: 188,255,255
File: 2, Coords: 172,205, RGB: 44,44,44
File: 3, Coords: 172,205, RGB: 28,28,28
File: 4, Coords: 172,205, RGB: 25,25,113
File: 5, Coords: 172,205, RGB: 30,30,30
File: 6, Coords: 172,205, RGB: 221,255,221
File: 7, Coords: 172,205, RGB: 45,45,45
File: 8, Coords: 172,205, RGB: 221,152,74
File: 9, Coords: 172,205, RGB: 222,152,74
File: 0, Coords: 172,206, RGB: 221,152,74
File: 1, Coords: 172,206, RGB: 29,29,74
File: 2, Coords: 172,206, RGB: 44,44,44
File: 3, Coords: 172,206, RGB: 28,28,28
File: 4, Coords: 172,206, RGB: 151,221,221
File: 5, Coords: 172,206, RGB: 30,30,30
File: 6, Coords: 172,206, RGB: 221,152,74
File: 7, Coords: 172,206, RGB: 45,45,45
File: 8, Coords: 172,206, RGB: 255,221,152
File: 9, Coords: 172,206, RGB: 222,152,74
File: 0, Coords: 172,207, RGB: 187,114,28
File: 1, Coords: 172,207, RGB: 28,28,74
File: 2, Coords: 172,207, RGB: 44,44,44
File: 3, Coords: 172,207, RGB: 28,74,152
File: 4, Coords: 172,207, RGB: 186,113,25
File: 5, Coords: 172,207, RGB: 255,255,255
File: 6, Coords: 172,207, RGB: 255,255,255
File: 7, Coords: 172,207, RGB: 45,45,45
File: 8, Coords: 172,207, RGB: 187,255,255
File: 9, Coords: 172,207, RGB: 222,255,255
File: 0, Coords: 172,208, RGB: 221,152,74
File: 1, Coords: 172,208, RGB: 28,28,74
File: 2, Coords: 172,208, RGB: 44,85,157
File: 3, Coords: 172,208, RGB: 29,29,29
File: 4, Coords: 172,208, RGB: 255,255,255
File: 5, Coords: 172,208, RGB: 29,29,29
File: 6, Coords: 172,208, RGB: 187,115,29
File: 7, Coords: 172,208, RGB: 45,45,123
File: 8, Coords: 172,208, RGB: 187,114,28
File: 9, Coords: 172,208, RGB: 30,30,30
File: 0, Coords: 172,209, RGB: 255,187,113
File: 1, Coords: 172,209, RGB: 28,28,74
File: 2, Coords: 172,209, RGB: 224,224,157
File: 3, Coords: 172,209, RGB: 29,29,29
File: 4, Coords: 172,209, RGB: 26,26,26
File: 5, Coords: 172,209, RGB: 29,29,29
File: 6, Coords: 172,209, RGB: 255,187,115
File: 7, Coords: 172,209, RGB: 86,158,224
File: 8, Coords: 172,209, RGB: 221,152,74
File: 9, Coords: 172,209, RGB: 31,31,31
File: 0, Coords: 172,210, RGB: 152,221,255
File: 1, Coords: 172,210, RGB: 187,255,255
File: 2, Coords: 172,210, RGB: 255,255,255
File: 3, Coords: 172,210, RGB: 255,255,255
File: 4, Coords: 172,210, RGB: 26,26,26
File: 5, Coords: 172,210, RGB: 255,255,255
File: 6, Coords: 172,210, RGB: 152,222,255
File: 7, Coords: 172,210, RGB: 191,255,191
File: 8, Coords: 172,210, RGB: 187,255,255
File: 9, Coords: 172,210, RGB: 222,255,255
File: 0, Coords: 173,204, RGB: 255,255,255
File: 1, Coords: 173,204, RGB: 115,188,222
File: 2, Coords: 173,204, RGB: 255,255,255
File: 3, Coords: 173,204, RGB: 255,255,255
File: 4, Coords: 173,204, RGB: 27,73,151
File: 5, Coords: 173,204, RGB: 255,255,255
File: 6, Coords: 173,204, RGB: 255,255,255
File: 7, Coords: 173,204, RGB: 255,255,255
File: 8, Coords: 173,204, RGB: 255,255,255
File: 9, Coords: 173,204, RGB: 255,255,255
File: 0, Coords: 173,205, RGB: 28,28,28
File: 1, Coords: 173,205, RGB: 255,255,222
File: 2, Coords: 173,205, RGB: 44,44,85
File: 3, Coords: 173,205, RGB: 28,28,28
File: 4, Coords: 173,205, RGB: 187,255,221
File: 5, Coords: 173,205, RGB: 30,30,30
File: 6, Coords: 173,205, RGB: 152,74,28
File: 7, Coords: 173,205, RGB: 45,45,45
File: 8, Coords: 173,205, RGB: 27,27,27
File: 9, Coords: 173,205, RGB: 29,29,29
File: 0, Coords: 173,206, RGB: 28,28,28
File: 1, Coords: 173,206, RGB: 152,222,222
File: 2, Coords: 173,206, RGB: 44,44,44
File: 3, Coords: 173,206, RGB: 28,28,74
File: 4, Coords: 173,206, RGB: 151,73,73
File: 5, Coords: 173,206, RGB: 30,30,30
File: 6, Coords: 173,206, RGB: 28,28,28
File: 7, Coords: 173,206, RGB: 45,45,123
File: 8, Coords: 173,206, RGB: 74,28,28
File: 9, Coords: 173,206, RGB: 29,29,29
File: 0, Coords: 173,207, RGB: 28,28,28
File: 1, Coords: 173,207, RGB: 152,222,222
File: 2, Coords: 173,207, RGB: 44,85,157
File: 3, Coords: 173,207, RGB: 221,255,255
File: 4, Coords: 173,207, RGB: 27,27,73
File: 5, Coords: 173,207, RGB: 255,255,188
File: 6, Coords: 173,207, RGB: 255,255,255
File: 7, Coords: 173,207, RGB: 86,158,224
File: 8, Coords: 173,207, RGB: 255,255,255
File: 9, Coords: 173,207, RGB: 255,255,255
File: 0, Coords: 173,208, RGB: 28,28,28
File: 1, Coords: 173,208, RGB: 152,221,221
File: 2, Coords: 173,208, RGB: 224,224,157
File: 3, Coords: 173,208, RGB: 29,29,29
File: 4, Coords: 173,208, RGB: 255,255,255
File: 5, Coords: 173,208, RGB: 75,153,222
File: 6, Coords: 173,208, RGB: 29,29,29
File: 7, Coords: 173,208, RGB: 192,255,192
File: 8, Coords: 173,208, RGB: 27,27,27
File: 9, Coords: 173,208, RGB: 30,30,30
File: 0, Coords: 173,209, RGB: 28,28,28
File: 1, Coords: 173,209, RGB: 152,222,222
File: 2, Coords: 173,209, RGB: 85,44,44
File: 3, Coords: 173,209, RGB: 30,30,30
File: 4, Coords: 173,209, RGB: 27,27,73
File: 5, Coords: 173,209, RGB: 115,187,255
File: 6, Coords: 173,209, RGB: 30,30,30
File: 7, Coords: 173,209, RGB: 224,158,86
File: 8, Coords: 173,209, RGB: 28,28,28
File: 9, Coords: 173,209, RGB: 31,31,115
File: 0, Coords: 173,210, RGB: 255,255,255
File: 1, Coords: 173,210, RGB: 255,255,255
File: 2, Coords: 173,210, RGB: 255,255,255
File: 3, Coords: 173,210, RGB: 255,255,255
File: 4, Coords: 173,210, RGB: 27,27,73
File: 5, Coords: 173,210, RGB: 255,222,152
File: 6, Coords: 173,210, RGB: 255,255,255
File: 7, Coords: 173,210, RGB: 123,44,44
File: 8, Coords: 173,210, RGB: 255,255,255
File: 9, Coords: 173,210, RGB: 255,255,255
File: 0, Coords: 174,204, RGB: 255,221,152
File: 1, Coords: 174,204, RGB: 153,75,31
File: 2, Coords: 174,204, RGB: 255,224,158
File: 3, Coords: 174,204, RGB: 255,221,152
File: 4, Coords: 174,204, RGB: 221,255,187
File: 5, Coords: 174,204, RGB: 222,153,75
File: 6, Coords: 174,204, RGB: 255,255,221
File: 7, Coords: 174,204, RGB: 255,255,255
File: 8, Coords: 174,204, RGB: 255,255,187
File: 9, Coords: 174,204, RGB: 255,221,152
File: 0, Coords: 174,205, RGB: 114,187,255
File: 1, Coords: 174,205, RGB: 153,75,31
File: 2, Coords: 174,205, RGB: 158,224,255
File: 3, Coords: 174,205, RGB: 114,187,255
File: 4, Coords: 174,205, RGB: 221,221,187
File: 5, Coords: 174,205, RGB: 30,30,30
File: 6, Coords: 174,205, RGB: 28,28,28
File: 7, Coords: 174,205, RGB: 86,158,224
File: 8, Coords: 174,205, RGB: 73,151,221
File: 9, Coords: 174,205, RGB: 74,152,222
File: 0, Coords: 174,206, RGB: 28,114,187
File: 1, Coords: 174,206, RGB: 152,74,29
File: 2, Coords: 174,206, RGB: 123,192,224
File: 3, Coords: 174,206, RGB: 152,221,221
File: 4, Coords: 174,206, RGB: 151,221,187
File: 5, Coords: 174,206, RGB: 30,30,30
File: 6, Coords: 174,206, RGB: 28,28,28
File: 7, Coords: 174,206, RGB: 192,255,192
File: 8, Coords: 174,206, RGB: 73,151,221
File: 9, Coords: 174,206, RGB: 31,115,188
File: 0, Coords: 174,207, RGB: 28,114,187
File: 1, Coords: 174,207, RGB: 152,74,29
File: 2, Coords: 174,207, RGB: 224,224,158
File: 3, Coords: 174,207, RGB: 255,187,114
File: 4, Coords: 174,207, RGB: 151,221,187
File: 5, Coords: 174,207, RGB: 115,31,31
File: 6, Coords: 174,207, RGB: 255,255,221
File: 7, Coords: 174,207, RGB: 224,158,86
File: 8, Coords: 174,207, RGB: 255,221,151
File: 9, Coords: 174,207, RGB: 255,255,255
File: 0, Coords: 174,208, RGB: 28,114,187
File: 1, Coords: 174,208, RGB: 152,74,28
File: 2, Coords: 174,208, RGB: 86,45,45
File: 3, Coords: 174,208, RGB: 75,153,222
File: 4, Coords: 174,208, RGB: 255,255,255
File: 5, Coords: 174,208, RGB: 222,152,74
File: 6, Coords: 174,208, RGB: 31,115,188
File: 7, Coords: 174,208, RGB: 123,45,45
File: 8, Coords: 174,208, RGB: 73,151,221
File: 9, Coords: 174,208, RGB: 75,153,222
File: 0, Coords: 174,209, RGB: 114,187,255
File: 1, Coords: 174,209, RGB: 152,74,29
File: 2, Coords: 174,209, RGB: 45,45,45
File: 3, Coords: 174,209, RGB: 115,188,255
File: 4, Coords: 174,209, RGB: 151,221,187
File: 5, Coords: 174,209, RGB: 222,153,75
File: 6, Coords: 174,209, RGB: 31,115,188
File: 7, Coords: 174,209, RGB: 45,45,45
File: 8, Coords: 174,209, RGB: 73,151,221
File: 9, Coords: 174,209, RGB: 188,255,222
File: 0, Coords: 174,210, RGB: 255,221,152
File: 1, Coords: 174,210, RGB: 255,255,255
File: 2, Coords: 174,210, RGB: 255,255,255
File: 3, Coords: 174,210, RGB: 255,222,153
File: 4, Coords: 174,210, RGB: 151,221,187
File: 5, Coords: 174,210, RGB: 74,29,29
File: 6, Coords: 174,210, RGB: 255,255,188
File: 7, Coords: 174,210, RGB: 45,45,45
File: 8, Coords: 174,210, RGB: 255,255,187
File: 9, Coords: 174,210, RGB: 188,115,31
File: 0, Coords: 175,204, RGB: 74,28,28
File: 1, Coords: 175,204, RGB: 30,30,30
File: 2, Coords: 175,204, RGB: 86,45,45
File: 3, Coords: 175,204, RGB: 74,28,28
File: 4, Coords: 175,204, RGB: 113,27,27
File: 5, Coords: 175,204, RGB: 255,255,255
File: 6, Coords: 175,204, RGB: 152,74,28
File: 7, Coords: 175,204, RGB: 255,192,123
File: 8, Coords: 175,204, RGB: 113,27,27
File: 9, Coords: 175,204, RGB: 74,28,28
File: 0, Coords: 175,205, RGB: 187,114,28
File: 1, Coords: 175,205, RGB: 30,30,30
File: 2, Coords: 175,205, RGB: 192,123,45
File: 3, Coords: 175,205, RGB: 187,114,28
File: 4, Coords: 175,205, RGB: 113,27,27
File: 5, Coords: 175,205, RGB: 255,255,255
File: 6, Coords: 175,205, RGB: 28,28,28
File: 7, Coords: 175,205, RGB: 224,158,86
File: 8, Coords: 175,205, RGB: 221,151,73
File: 9, Coords: 175,205, RGB: 222,153,75
File: 0, Coords: 175,206, RGB: 255,187,114
File: 1, Coords: 175,206, RGB: 29,29,29
File: 2, Coords: 175,206, RGB: 158,86,45
File: 3, Coords: 175,206, RGB: 152,74,28
File: 4, Coords: 175,206, RGB: 113,27,27
File: 5, Coords: 175,206, RGB: 255,255,255
File: 6, Coords: 175,206, RGB: 28,28,28
File: 7, Coords: 175,206, RGB: 123,45,45
File: 8, Coords: 175,206, RGB: 187,113,27
File: 9, Coords: 175,206, RGB: 255,188,115
File: 0, Coords: 175,207, RGB: 255,187,114
File: 1, Coords: 175,207, RGB: 29,29,29
File: 2, Coords: 175,207, RGB: 86,45,45
File: 3, Coords: 175,207, RGB: 28,28,28
File: 4, Coords: 175,207, RGB: 113,27,27
File: 5, Coords: 175,207, RGB: 255,255,255
File: 6, Coords: 175,207, RGB: 152,74,28
File: 7, Coords: 175,207, RGB: 45,45,45
File: 8, Coords: 175,207, RGB: 73,27,27
File: 9, Coords: 175,207, RGB: 255,188,115
File: 0, Coords: 175,208, RGB: 255,187,114
File: 1, Coords: 175,208, RGB: 29,29,29
File: 2, Coords: 175,208, RGB: 45,45,45
File: 3, Coords: 175,208, RGB: 222,153,75
File: 4, Coords: 175,208, RGB: 255,221,151
File: 5, Coords: 175,208, RGB: 255,255,255
File: 6, Coords: 175,208, RGB: 255,188,115
File: 7, Coords: 175,208, RGB: 45,45,45
File: 8, Coords: 175,208, RGB: 255,187,113
File: 9, Coords: 175,208, RGB: 222,153,75
File: 0, Coords: 175,209, RGB: 187,114,28
File: 1, Coords: 175,209, RGB: 29,29,29
File: 2, Coords: 175,209, RGB: 45,45,45
File: 3, Coords: 175,209, RGB: 222,153,75
File: 4, Coords: 175,209, RGB: 113,27,27
File: 5, Coords: 175,209, RGB: 255,255,255
File: 6, Coords: 175,209, RGB: 255,188,115
File: 7, Coords: 175,209, RGB: 45,45,45
File: 8, Coords: 175,209, RGB: 221,151,73
File: 9, Coords: 175,209, RGB: 153,75,31
File: 0, Coords: 175,210, RGB: 74,28,28
File: 1, Coords: 175,210, RGB: 187,114,28
File: 2, Coords: 175,210, RGB: 224,157,85
File: 3, Coords: 175,210, RGB: 75,31,31
File: 4, Coords: 175,210, RGB: 113,27,27
File: 5, Coords: 175,210, RGB: 255,255,255
File: 6, Coords: 175,210, RGB: 115,31,31
File: 7, Coords: 175,210, RGB: 45,45,45
File: 8, Coords: 175,210, RGB: 113,27,27
File: 9, Coords: 175,210, RGB: 30,30,30
